mes,sensor,missing_%
2026-02,SHF_2_1_1,0.0
2026-02,SHF_3_1_1,0.0
2026-02,SWC_1_1_1,0.0
2026-02,SWC_2_1_1,0.0
2026-02,SWC_3_1_1,0.0
2026-02,SWIN_1_1_1,0.0
2026-02,SWOUT_1_1_1,0.0
2026-02,TA_1_1_1,0.0
2026-02,TC_1_1_1,0.0
2026-02,TS_1_1_1,0.0
2026-02,TS_2_1_1,0.0
2026-02,TS_3_1_1,0.0
2026-02,CE_1_1_1,0.0
2026-02,CE_2_1_1,0.0
2026-02,CE_3_1_1,0.0
2026-02,site_id,0.0
